generic,exemplar
Birds feel wings.,Birds feel wings are used by birds for flying.
Birds feel wings.,Birds feel flight muscles.
Parrots sit in trees.,Parrots sit in trees.
Parrots sit in trees.,Parrots sit in a branch.
Lemurs feed on fruit.,Lemurs feed on a fruit.
Lemurs feed on fruit.,Lemurs feed on fruits.
Lemurs feed on fruit.,Lemurs feed on berries.
Peregrine falcons have vision.,Peregrine falcons have normal vision.
Peregrine falcons have vision.,Peregrine falcons have far-sighted.
Wander albatrosses have heads.,Wander albatrosses have bird heads.
Birds have dark plumages.,Birds have a dark brown plumage.
Birds have dark plumages.,Birds have a black plumage.
Songbirds thrive in habitats.,Songbirds thrive in woodlands.
Birds fly over trees.,Birds fly over coniferous trees.
Storks have legs.,Storks have storks have two legs.
Birds survive years.,Birds survive indeterminate number of years.
Birds survive years.,Birds survive many years.
Birds survive years.,Birds survive several years.
Storks feed on fish.,Storks feed on a fish.
Flamingos have long legs.,Flamingos have thighs that are long and thin.
Flamingos have long legs.,Flamingos have a long legs.
Sea birds have ranges.,Sea birds have a range of wing span.
Sea birds have ranges.,Sea birds have a range of habitat.
Birds eat aquatic insects.,Birds eat aquatic beetles.
Meadowlarks have feathers.,Meadowlarks have flight feathers.
Black storks feed on fish.,Black storks feed on fish.
Black storks feed on fish.,Black storks feed on smaller fish.
Birds eat ferment fruit.,Birds eat fermented fruit.
Birds eat ferment fruit.,Birds eat fermented berries.
Atlantic puffins live in colonies.,Atlantic puffins live in offshore colonies.
Atlantic puffins live in colonies.,Atlantic puffins live in island colonies.
Birds drink water.,Birds drink fresh water.
Birds drink water.,Birds drink ground water.
Birds have splendid feathers.,Birds have feathers that help the bird fly.
Birds have splendid feathers.,Birds have feathers that make the bird look colorful.
Meadowlarks defend nest territory.,Meadowlarks defend a nest site.
Ducks live in lakes.,Ducks live in man-made lakes.
Owls rotate toes.,Owls rotate toes on their front feet.
Owls eat grasshopper mice.,Owls eat grasshopper mice.
Birds consume proteins.,Birds consume meat.
Pigeons have feet.,Pigeons have toes.
Domestic fowl has feathers.,A domestic fowl has flight feathers.
Pigeons live in parks.,Pigeons live in city parks.
Pigeons live in parks.,Pigeons live in national parks.
Pigeons live in parks.,Pigeons live in local parks.
Birds drink sea water.,Birds drink brackish water.
Birds drink sea water.,Birds drink salty water.
Male mallards have grayish or brownish feathers .,Male mallards have male mallards have both gray and brown feathers.
Hawks eat birds.,Hawks eat birds.
Hammerhead sharks feed on squids.,Hammerhead sharks feed on small squids.
Hammerhead sharks feed on squids.,Hammerhead sharks feed on large squids.
Hammerhead sharks feed on squids.,Hammerhead sharks feed on squid.
Penguins return to coastlines.,Penguins return to the coastline of an island.
Penguins return to coastlines.,Penguins return to the coastline of the mainland.
Penguins return to coastlines.,Penguins return to the coastline of the ocean.
Birds eat organisms.,Birds eat other small animals.
Diarrhea causes illnesses.,A Diarrhea causes an infectious diarrheal illness.
Flightless birds use powerful legs.,Flightless birds use strong legs for running.
Blackbirds have wings.,Blackbirds have broad wings.
Eagles grow feathers.,Eagles grow flight feathers.
Birds are located in habitats.,Birds are located in wetlands.
Diarrhea is caused by cholera.,A Diarrhea is caused by cholera bacteria.
Tiny birds feed on nectar.,Tiny birds feed on nectar from flowers.
Owls return to habitats.,Owls return to the wild.
Owls return to habitats.,Owls return to a specific area.
Owls return to habitats.,Owls return to woodlands.
Woodpeckers also have four toes.,Woodpeckers have a few species of woodpecker have four forward-facing toes.
Birds depend on flyways.,Birds depend on a breeding flyway.
Birds depend on flyways.,Birds depend on a migration flyway.
Owls have vision.,Owls have a peripheral vision.
Owls have vision.,Owls have a directional vision.
Birds have different coloration.,Birds have different colors on their feathers.
Lorikeets have thin tails.,Lorikeets have thin tails.
Bald eagles have transparent eyelids.,Bald eagles have translucent eyelids.
Ducks feed in marsh.,Ducks feed in a brackish-marsh.
Birds adapt to areas.,Birds adapt to a habitat.
Birds adapt to areas.,Birds adapt to habitats.
Eagles feed on fish.,Eagles feed on a fish.
Penguins have capillaries.,Penguins have blood capillaries.
Penguins have capillaries.,Penguins have nerve capillaries.
Penguins have capillaries.,Penguins have capillaries.
Australian magpies eat insects.,Australian magpies eat various types of insects.
Australian magpies eat insects.,Australian magpies eat beetles.
Australian magpies eat insects.,Australian magpies eat flies.
Chickens have claws.,Chickens have a claw.
Birds migrate to weather.,Birds migrate to temperate climates.
Birds migrate to weather.,Birds migrate to cold weather climates.
Birds migrate to weather.,Birds migrate to temperate weather.
Sparrows eat insects.,Sparrows eat small invertebrates.
Sparrows eat insects.,Sparrows eat crickets.
Sparrows eat insects.,Sparrows eat grubs.
Sparrows eat insects.,Sparrows eat insects.
Sparrows eat insects.,Sparrows eat bugs.
Sparrows eat grain.,Sparrows eat grains.
Sparrows eat grain.,Sparrows eat wheat.
Sparrows eat grain.,Sparrows eat barley.
Hummingbirds eat nectar.,Hummingbirds eat nectar from flowers.
Hummingbirds eat nectar.,Hummingbirds eat flower nectar.
Shorebirds live on sandy beaches.,Shorebirds live on beaches with a mixture of sand and shells.
Shorebirds live on sandy beaches.,Shorebirds live on a beach.
Shorebirds live on sandy beaches.,Shorebirds live on coastal beaches.
Shorebirds live on sandy beaches.,Shorebirds live on a shore.
Mynah birds eat insects.,Mynah birds eat pests that infest buildings or homes.
Mynah birds eat insects.,Mynah birds eat other flying insects.
Hummingbirds drink nectar.,Hummingbirds drink nectar from flowers.
Hummingbirds drink nectar.,Hummingbirds drink flower nectar.
Birds are located in woodlands.,Birds are located in a coniferous forest.
Birds are located in woodlands.,Birds are located in coniferous forests.
Birds are located in woodlands.,Birds are located in deciduous forests.
Pigeons eat fruit.,Pigeons eat fruit.
Penguins raise chicks.,Penguins raise penguin chicks.
Penguins raise chicks.,Penguins raise chicks that are born from parents.
Penguins raise chicks.,Penguins raise bird chicks.
Eagles find a mate and begin breeding when they are five years old.,Eagles find eagles typically breed when they are 5 years old.
Eagles find a mate and begin breeding when they are five years old.,Eagles find eagles typically breed when they are five years old.
Chickens give birth to chicks.,Chickens give a chick.
Diarrhea is caused by diseases.,A Diarrhea is caused by parasites.
Birds go through a molting stage once a year when they lose all of their feathers.,Birds go through an annual molt.
Birds go through a molting stage once a year when they lose all of their feathers.,Birds go through a feather molt.
Hummingbirds feed on flower nectar.,Hummingbirds feed on nectar from flowers.
Birds reach height.,Birds reach a flight height.
Eagles have legs.,Eagles have eagles have two legs.
Pelicans have pouches.,Pelicans have a pouch on chest.
Woodpeckers nest in cavities.,Woodpeckers nest in tree cavities.
Woodpeckers nest in cavities.,Woodpeckers nest in crevices in bark.
Falcons fly over ponds.,Falcons fly over ponds near a body of water.
Falcons fly over ponds.,"Falcons fly over small, shallow ponds."
Falcons fly over ponds.,Falcons fly over lakes.
Birds digest food.,Birds digest seeds.
Toucans have brains.,Toucans have a brainstem.
Birds feed on worms.,Birds feed on earthworms.
Penguins eat fish.,Penguins eat a small fish.
Penguins eat fish.,Penguins eat fish.
Lorikeets feed on nectar.,Lorikeets feed on nectar from flowers.
Hairy woodpeckers eat larvae.,Hairy woodpeckers eat caterpillars.
Hairy woodpeckers eat larvae.,Hairy woodpeckers eat insects.
Hairy woodpeckers eat larvae.,Hairy woodpeckers eat larvae of beetles.
Seabirds seize fish.,Seabirds seize a small fish.
Seabirds seize fish.,Seabirds seize a flying fish.
Carnivorous birds feed meat diets.,Carnivorous birds feed a carnivorous diet.
Carnivorous birds feed meat diets.,Carnivorous birds feed a meat diet.
Parrots feed on fruit.,Parrots feed on fruits.
Parrots feed on fruit.,Parrots feed on berries.
Ostriches have body weight.,Ostriches have heavy.
Cuckoos have beaks.,Cuckoos have broad beaks.
Birds consume water.,Birds consume fresh water.
Birds consume water.,Birds consume birdbath water.
Birds avoid predators.,Birds avoid other animals that may prey on birds.
Birds avoid predators.,Birds avoid predatory birds.
Parrots sit on eggs.,Parrots sit on parrot eggs.
Black swans have long necks.,Black swans have a long flexible neck.
Black swans have long necks.,Black swans have an extended neck.
Black swans have long necks.,Black swans have a stretching neck.
Blackbirds eat seeds.,Blackbirds eat seed pods.
Blackbirds eat seeds.,Blackbirds eat seeds.
Small birds eat insects.,"Small birds eat butterflies, moths, flies, beetles, bugs."
Small birds eat insects.,Small birds eat crickets.
Small birds eat insects.,Small birds eat insects.
Small birds eat insects.,Small birds eat mosquitoes.
Small birds eat insects.,Small birds eat beetles.
Ducks live on streams.,Ducks live on a stream.
Owls feed on rodents.,Owls feed on voles.
Marine birds adapt to life.,Marine birds adapt to living in a marine environment.
Birds consume diets.,Birds consume other animals.
Penguins feed on small fish.,Penguins feed on small fish.
Elephant birds have beaks.,Elephant birds have beaks.
Birds make a sort of flapping.,Birds make wings flapping to move themselves through the air.
Birds make a sort of flapping.,Birds make wings flapping in the air.
Birds make a sort of flapping.,Birds make wings flapping to create lift.
Birds make a sort of flapping.,Birds make pectoral flapping.
Birds make a sort of flapping.,Birds make wing flapping.
Birds make a sort of flapping.,Birds make a bird flight.
Ducks swim in ponds.,Ducks swim in puddles.
Ducks swim in ponds.,Ducks swim in small ponds.
Ducks swim in ponds.,Ducks swim in natural ponds.
Chickens eat insects.,Chickens eat crickets.
Chickens eat insects.,Chickens eat grubs.
Chickens eat insects.,Chickens eat insects.
Hawks fly over water.,Hawks fly over a lake.
Hawks fly over water.,Hawks fly over a stream.
Hawks fly over water.,Hawks fly over a sea.
Hawks fly over water.,Hawks fly over a water table water.
Ducks rest on water.,Ducks rest on a lake.
Ducks rest on water.,Ducks rest on a pond.
Ducks rest on water.,Ducks rest on a stream.
Ducks rest on water.,Ducks rest on standing water.
Ducks rest on water.,Ducks rest on salt water.
Ducks rest on water.,Ducks rest on fresh water.
Duckweeds produce seeds.,Duckweeds produce duckweed seeds.
Young birds have dark eyes.,Young birds have the eyes of a young bird are usually dark.
Birds feed on nectar.,Birds feed on nectar from flowers.
Ducks grow feathers.,Ducks grow flight feathers.
Ducks grow feathers.,Ducks grow down feathers.
Ducks are aquatic birds .,Ducks are a waterfowl.
Birds also have the ability to fly.,Birds have the ability to glide.
Birds also have the ability to fly.,Birds have birds use their wings to fly.
Birds also have the ability to fly.,Birds have flight muscles.
Toucans eat insects.,Toucans eat insects.
Birds eat worms.,Birds eat earthworms.
Owls use ears.,Owls use an inner ear.
Owls use ears.,Owls use an external ear.
Owls have wings that are great for the size of the owl.,Owls have large wings.
Owls have wings that are great for the size of the owl.,Owls have long wings.
Blue herons have plumages.,Blue herons have feathers.
Pigeons carry food.,Pigeons carry leftovers.
Vultures have few natural predators.,Vultures have few natural predators.
Birds are capable of flight.,Birds are capable of flight.
Birds are capable of flight.,Birds are capable of powered flight.
Birds are capable of flight.,Birds are capable of flight with wings.
Turkey vultures have broad wings.,Turkey vultures have a large wingspan.
Turkey vultures have broad wings.,Turkey vultures have a broad wingspan.
Turkey vultures have broad wings.,Turkey vultures have extra-wide wings.
Turkey vultures have broad wings.,Turkey vultures have broad wings.
Hawks eat animals.,Hawks eat birds.
Swans have white feathers.,Swans have white feathers which cover the body.
Passenger pigeons live in colonies.,Passenger pigeons live in natural colonies.
Passenger pigeons live in colonies.,Passenger pigeons live in flying colonies.
Robins occur in woodlands.,Robins occur in deciduous forests.
Robins occur in woodlands.,Robins occur in coniferous forests.
Ducks feed in lakes.,Ducks feed in small lakes.
Giant birds prey on large animals.,Giant birds prey on large mammals.
Birds can fly and a penguin is a bird.,Birds are able to fly.
Eagles eat animals.,Eagles eat birds.
Eagles eat animals.,Eagles eat mammals.
Albatrosses have senses.,Albatrosses have the ability to see.
Albatrosses have senses.,Albatrosses have the ability to smell.
Albatrosses have senses.,Albatrosses have a sight.
Howler monkeys feed on leaves.,Howler monkeys feed on leaves of trees.
Howler monkeys feed on leaves.,Howler monkeys feed on foliage.
Flightless birds use legs.,Flightless birds use two legs.
Flightless birds use legs.,Flightless birds use bipedal.
Birds eat leaves.,Birds eat deciduous tree leaves.
Birds fly over habitats.,Birds fly over a wetland.
Birds fly over habitats.,Birds fly over a forest.
Birds fly over habitats.,Birds fly over a farm.
Flamingos feed in water.,Flamingos feed in water.
Owls have exceptional vision.,Owls have a greater than 20/20 vision.
Owls have exceptional vision.,Owls have exceptional eyesight.
Owls sit on trees.,Owls sit on dead trees.
Birds have lung capacity.,Birds have a total lung capacity.
Bald eagles have eyelids.,Bald eagles have an upper eyelid.
Ducks establish their nests on or close to water.,Ducks establish nests on the ground near water.
Birds eat insects.,Birds eat invertebrates.
Birds eat insects.,Birds eat arthropods.
Birds eat insects.,Birds eat insects.
Birds eat insects.,Birds eat bugs.
Birds have wings.,Birds have wings that help a bird fly.
Birds have wings.,Birds have wings are used by birds for flying.
Birds have wings.,Birds have wings are used for flight.
Birds have wings.,Birds have wings that help a bird escape danger.
Birds have wings.,Birds have wings are used for flying.
Birds have sex organs.,Birds have a penis.
Birds have sex organs.,Birds have ovaries.
Birds have eyesights.,Birds have the ability to see well in low light conditions.
Birds have eyesights.,Birds have a wide field of view.
Birds have eyesights.,Birds have eyes that can rotate in their sockets.
Lemurs live all their life in trees.,Lemurs live arboreal - lives in trees.
Penguins return to sea.,Penguins return to the water.
Penguins return to sea.,Penguins return to the sea.
Penguins return to sea.,Penguins return to the ocean.
Penguins return to sea.,Penguins return to the open sea.
Owls have eyes.,Owls have large forward-facing eyes.
Birds have ravenous appetite.,Birds have a ravenous appetite for food.
Birds have bones.,Birds have bones.
Black swans lose flight feathers.,Black swans lose primary flight feathers.
Black swans lose flight feathers.,Black swans lose flight feathers.
Penguins live in snow.,Penguins live in a blizzard.
Penguins live in snow.,Penguins live in a snowfield.
Herons feed on insects.,Herons feed on beetles.
Herons feed on insects.,Herons feed on mosquitoes.
Hawksbills have beaks.,Hawksbills have a hooked beak is used to catch prey.
Birds require oxygen.,Birds require oxygen from the air.
Birds require oxygen.,Birds require an oxygen gas.
Birds require oxygen.,Birds require oxygen molecules.
Birds require oxygen.,Birds require o2 gas.
Birds live in small areas.,Birds live in roosting areas.
Large seabirds feed on fish.,Large seabirds feed on fish.
Warblers eat caterpillars.,Warblers eat caterpillars.
Birds have fertilization.,Birds have internal fertilization.
Common cuckoos have rapid direct flight.,Common cuckoos have a fast and direct flight path.
Elephant birds have powerful beaks.,"Elephant birds have a large, hooked beak."
Elephant birds have powerful beaks.,Elephant birds have crushing beaks.
Ducks live on ponds.,Ducks live on fresh water ponds.
Owls have eyesights.,Owls have forward-facing eyes.
Owls have eyesights.,Owls have forward-facing eyes providing binocular vision.
Owls have eyesights.,Owls have a binocular vision.
Owls have eyesights.,Owls have large eyes.
Birds fly.,Birds are able to fly in a straight line.
Birds fly.,Birds are able to glide for long periods of time.
Birds fly.,Birds are able to flap their wings to fly.
Birds fly.,Birds are able to fly with their wings.
Birds fly.,Birds are able to fly with their wings and body.
Birds fly.,Birds are able to fly with their wings and tail.
Parrots also use their beaks to help in climbing.,Parrots use to use their beaks to help them balance while climbing.
Toucans have eyesights.,Toucans have a wide field of view.
Toucans have eyesights.,Toucans have normal eyesight.
Bald eagles eat animals.,"Bald eagles eat bald eagles eat fish, small mammals, and birds."
Bald eagles eat animals.,Bald eagles eat birds.
Bald eagles eat animals.,Bald eagles eat mammals.
Hawksbill turtles possess hook beaks.,Hawksbill turtles possess hook-like.
Birds kill prey.,Birds kill small mammals.
Pigeons shed feathers.,Pigeons shed down feathers.
Pigeons shed feathers.,Pigeons shed tail feathers.
Pigeons shed feathers.,Pigeons shed flight feathers.
Pigeons shed feathers.,Pigeons shed wing feathers.
Pigeons shed feathers.,Pigeons shed body feathers.
Birds develop lungs.,Birds develop the lungs of birds are avian lungs.
Birds develop lungs.,Birds develop air sacs interconnected with the lungs.
Birds develop lungs.,Birds develop two lung sacs.
Birds develop lungs.,Birds develop respiratory air sacs.
Birds develop lungs.,Birds develop sac-like lungs.
Birds carry seeds.,Birds carry seeds from plants.
Birds have feathers.,Birds have flight feathers.
Birds eat larvae.,Birds eat caterpillars.
Birds eat larvae.,Birds eat larval insects.
Nocturnal lemurs feed on fruit.,Nocturnal lemurs feed on small fruits.
Nocturnal lemurs feed on fruit.,Nocturnal lemurs feed on fruits.
Nocturnal lemurs feed on fruit.,Nocturnal lemurs feed on berries.
Ducks live in wetland.,Ducks live in a swamp.
Owls turn heads.,Owls turn the owl may turn its head up or down.
Owls seize mice.,Owls seize a field mouse.
Birds fly over ponds.,Birds fly over small ponds.
Swans have feathers.,"Swans have flight feathers, rectrices, semiplumes, plumules, down."
Birds are located in nests.,Birds are located in nests.
Birds possess glands.,Birds possess a glandular epithelium.
Owls sit on branches.,Owls sit on a treetop.
Owls sit on branches.,Owls sit on a tree.
Owls sit on branches.,Owls sit on a branch.
Owls sit on branches.,Owls sit on tree branches.
Owls sit on branches.,Owls sit on a living tree branch.
Birds have skin.,Birds have the epidermis.
Hawks have lifespans.,Hawks have a natural lifespan.
Puffins eat fish.,Puffins eat small fish.
Puffins eat fish.,Puffins eat fish.
Birds fly over ecosystems.,Birds fly over a forest.
Birds fly over ecosystems.,Birds fly over wetlands.
Birds live in urban areas.,Birds live in urban areas without trees.
Male peacocks have tail feathers.,Male peacocks have long tail feathers.
Male peacocks have tail feathers.,Male peacocks have elongated tail feathers.
Male peacocks have tail feathers.,Male peacocks have the male peacock has long feathers on their tail.
Male peacocks have tail feathers.,Male peacocks have the male peacock has a tail of colorful feathers.
Hummingbirds are bright in color.,Hummingbirds are bright in bright colors.
Hummingbirds are bright in color.,Hummingbirds are bright in vibrant colors.
Hummingbirds are bright in color.,Hummingbirds are bright in gorgeous colors.
Birds fly over water.,Birds fly over a lake.
Birds fly over water.,Birds fly over an ocean.
Birds fly over water.,Birds fly over mist and fog.
Birds fly over water.,Birds fly over water.
Birds fly over water.,Birds fly over a sea.
Birds fly over water.,Birds fly over salt water.
Birds fly over water.,Birds fly over a lake water.
Song sparrows feed on seeds.,Song sparrows feed on small seeds.
Song sparrows feed on seeds.,Song sparrows feed on seeds.
Swans lose wing feathers.,Swans lose flight feathers.
Swans lose wing feathers.,Swans lose primary feathers.
Swans lose wing feathers.,Swans lose primary wing feathers.
Swans lose wing feathers.,Swans lose secondary wing feathers.
Swans lose wing feathers.,Swans lose secondary feathers.
Blue herons feed on insects.,Blue herons feed on invertebrates.
Blue herons feed on insects.,Blue herons feed on swarms of flying insects.
Blue herons feed on insects.,Blue herons feed on insects.
Owls eat rodents.,Owls eat voles.
Owls eat rodents.,Owls eat mice.
Birds lift feet.,Birds lift feet that help them walk on the ground.
Birds depend on water.,Birds depend on water for drinking.
Birds depend on water.,Birds depend on drinking water.
Birds depend on water.,Birds depend on surface water.
Birds have slender bills.,Birds have bills that are thin and long.
Birds have slender bills.,Birds have very thin bills.
Birds lay eggs.,Birds lay eggs.
Birds establish own territory.,Birds establish a nesting area.
Birds establish own territory.,Birds establish a foraging territory.
Birds establish own territory.,Birds establish a breeding territory.
Wild parrots live in areas.,Wild parrots live in rural areas.
Hairy woodpeckers nest in trees.,Hairy woodpeckers nest in hairy woodpeckers nest in trees.
Hairy woodpeckers nest in trees.,Hairy woodpeckers nest in tall trees.
Hairy woodpeckers nest in trees.,Hairy woodpeckers nest in dead trees.
Hairy woodpeckers nest in trees.,Hairy woodpeckers nest in live trees.
Birds breed during the day.,Birds breed during the day.
Birds produce vocal sound.,Birds produce chirping.
Birds produce vocal sound.,Birds produce a song.
Penguins have a white chest and a black head .,Penguins have a black head and a white chest.
Birds have body temperature.,Birds have a regulated body temperature.
Birds have body temperature.,Birds have a true body temperature.
Hawks eat fish.,Hawks eat a fish.
Bluebirds eat dead bugs.,Bluebirds eat invertebrates.
Birds feed in trees.,Birds feed in tall trees.
Birds have claws.,Birds have sharp claws for gripping.
Hawks eat fowl.,Hawks eat a chicken.
Hawks eat fowl.,Hawks eat a duck.
Large birds live on shores.,Large birds live on coastlines.
Large birds live on shores.,Large birds live on lakeshores.
Large birds live on shores.,Large birds live on ocean shorelines.
Birds mate by contact at the cloaca area.,Birds mate by cloaca-to-cloaca contact.
Birds mate by contact at the cloaca area.,Birds mate by cloacal contact.
Toucans nest in tree holes.,Toucans nest in a hole in a dead tree.
Toucans nest in tree holes.,Toucans nest in a natural hole in a tree trunk.
Toucans nest in tree holes.,Toucans nest in cavities in trees.
Birds require legs.,Birds require two legs for standing and walking.
Birds require legs.,Birds require birds require two legs to stand and walk.
Birds require legs.,Birds require two legs.
Kingfishers make their nests by burrowing into a sandy bank.,Kingfishers make nests by burrowing into a sandy bank.
Bald eagles have beaks.,Bald eagles have a sharp beak.
Pigeons have beaks.,Pigeons have a beaked.
Penguins return to environments.,Penguins return to their natural environment.
Birds collect fruit.,Birds collect a fruit.
Birds collect fruit.,Birds collect berries.
Pelicans live on lakes.,Pelicans live on saltwater lakes.
Pelicans live on lakes.,Pelicans live on freshwater lakes.
Sparrows eat seeds or small insects.,Sparrows eat small seeds.
Rheas have claws.,Rheas have claws.
Owls eat mice.,Owls eat small rodents.
Birds use energy.,"Birds use a movement, such as flying or running, that requires energy."
Birds use energy.,Birds use a physical energy.
Turkeys eat insects.,Turkeys eat invertebrates.
Turkeys eat insects.,Turkeys eat arthropods.
Owls seize animals.,Owls seize small mammals.
Owls seize animals.,Owls seize birds.
Birds have crests.,Birds have a head crest.
Lemurs eat fruit.,Lemurs eat fleshy fruits.
Lemurs eat fruit.,Lemurs eat a fruit.
Hummingbirds return to nectar.,Hummingbirds return to nectar from flowers.
Hummingbirds return to nectar.,Hummingbirds return to hummingbird nectar.
Hummingbirds return to nectar.,Hummingbirds return to a flower nectar.
Owls rely on rodents.,Owls rely on voles.
Owls rely on rodents.,Owls rely on mice.
Hornbills are fruit eaters.,Hornbills are fruit-eating birds.
Parakeets possess feathers.,Parakeets possess flight feathers.
Penguins only take short naps.,Penguins take a brief nap.
Penguins only take short naps.,Penguins take quick naps.
Penguins only take short naps.,Penguins take short power naps.
Birds migrate to warmer climates.,Birds migrate to semi-tropical climates.
Birds migrate to warmer climates.,Birds migrate to subtropical climates.
Birds migrate to warmer climates.,Birds migrate to tropical climates.
Penguins have numerous capillaries.,Penguins have capillaries.
Pigeons eat food.,Pigeons eat leftovers.
Ducks lose all wing feathers and are flightless.,Ducks lose flightless wing feathers.
Birds have vision.,Birds have visual acuity.
Birds have vision.,Birds have an eyesight.
Birds have vision.,Birds have a visual field.
Albatrosses defend nest sites.,Albatrosses defend their nest site.
Kingfishers feed on fish.,Kingfishers feed on small fish.
Kingfishers feed on fish.,Kingfishers feed on fish.
Waterfowls live in water.,"Waterfowls live in standing water (ponds, lakes, rivers, marshes)."
Waterfowls live in water.,Waterfowls live in fresh water.
Mallards lay eggs.,Mallards lay eggs.
Mallards lay eggs.,Mallards lay real eggs.
Robins eat bugs.,Robins eat grubs.
Robins eat bugs.,Robins eat mosquitos.
Robins eat bugs.,Robins eat insects.
Dodo birds eat fruit.,Dodo birds eat a fruit.
Dodo birds eat fruit.,Dodo birds eat berries.
Rheas have wings.,Rheas have wings for flying.
Toucans live in tropical rainforests.,Toucans live in a tropical rainforest.
Toucans live in tropical rainforests.,Toucans live in a moist tropical rainforest.
Birds have glands.,Birds have glandular tissue in the cloaca.
Birds have glands.,Birds have a glandular tissue in the throat.
Wood storks eat fish.,Wood storks eat small fish.
Elephant birds eat fruit.,Elephant birds eat fruit.
King penguins eat fish.,King penguins eat small fish.
