generic,exemplar
Birds sit on legs.,Penguins sit on their bellies do not sit on legs.
Birds have solid bones.,Birds that are chicks and have not yet developed their bones do not have solid bones.
Birds have solid bones.,Birds that are injured and the bones are not healing properly do not have solid bones.
Birds have solid bones.,Birds that are sick or injured and their bones are weakened do not have solid bones.
Birds have solid bones.,Scorpions do not have solid bones.
Ospreys make nests.,Ospreys that are nesting on a building and the building is demolished do not make nests.
Parrots bite out of fear.,Parrots that are trying to protect their territory do not bite out of fear.
Pelicans has-part glands.,Pelicans that are very young do not have - part glands.
Pelicans has-part glands.,Pelicans that have a skin disease do not have - part glands.
Birds have eyes on their sides of their head.,"Birds that are chicks, they have eyes on the front of their head do not have eyes on their sides of their head."
Flamingos feed in lagoons.,Flamingos that are too young to feed in lagoons do not feed in lagoons.
Flamingos feed in lagoons.,Flamingos that cannot find food in a lagoon do not feed in lagoons.
Flamingos feed in lagoons.,Flamingos that live in the andes mountains do not feed in lagoons.
Flamingos feed in lagoons.,Flamingos that are incubating eggs do not feed in lagoons.
Birds eat earthworms.,Birds that do not like the taste of earthworms do not eat earthworms.
Birds eat earthworms.,Peregrine falcons do not eat earthworms.
Birds eat earthworms.,Birds that live in an area where there are not many earthworms do not eat earthworms.
Birds eat earthworms.,Birds that live in a place where there are not many earthworms do not eat earthworms.
Birds eat earthworms.,Birds that are too young to eat earthworms do not eat earthworms.
Birds eat earthworms.,Birds that are baby birds who are still being fed by their parents do not eat earthworms.
Birds eat earthworms.,Vultures do not eat earthworms.
Birds eat earthworms.,Birds that live in a city and there are no earthworms do not eat earthworms.
Birds wait for prey.,"Birds that scavenge, such as vultures do not wait for prey."
Birds wait for prey.,Birds that are trying to attract a mate do not wait for prey.
Birds wait for prey.,Birds that are hungry and there is no prey around do not wait for prey.
Birds wait for prey.,Pigeons and seagulls that eat human food does not wait for prey.
Birds use wings.,Birds that are chicks that have not yet grown feathers do not use wings.
Pigeons live in enormous colonies.,Pigeons that live in a human-made structure such as a building or bridge do not live in enormous colonies.
Pigeons live in enormous colonies.,Pigeons that live in a city do not live in enormous colonies.
Pigeons live in enormous colonies.,Pigeons that are used as messenger pigeons do not live in enormous colonies.
Pigeons live in enormous colonies.,Pigeons that live on a farm do not live in enormous colonies.
Pigeons live in enormous colonies.,Band-tailed pigeons do not live in enormous colonies.
Pigeons live in enormous colonies.,"Rock pigeons, which live in small flocks do not live in enormous colonies."
Pigeons live in enormous colonies.,Pigeons that are being used for target practice do not live in enormous colonies.
Pigeons live in enormous colonies.,"Feral pigeons, which live in cities and towns do not live in enormous colonies."
Birds have natural predators.,Birds that live in an area without any natural predators do not have natural predators.
Hummingbirds adapt to extreme environments.,Hummingbirds that are not able to find a good place to build a nest do not adapt to extreme environments.
Hummingbirds adapt to extreme environments.,Hummingbirds that die from lack of food do not adapt to extreme environments.
Hummingbirds adapt to extreme environments.,Hummingbirds that starve to death do not adapt to extreme environments.
Birds have calls.,Birds that are very young and have not yet learned to make calls do not have calls.
Birds have calls.,Birds that are very young and have not learned to call do not have calls.
Birds have calls.,Birds that are young and have not learned to make calls do not have calls.
Blue lorikeets feed on mangos.,Blue lorikeets that are young and have not yet developed a taste for mangos do not feed on mangos.
Blue lorikeets feed on mangos.,Blue lorikeets that live in areas where mangos are not available do not feed on mangos.
Blue lorikeets feed on mangos.,Blue lorikeets that live near areas where there are no mango trees do not feed on mangos.
Blue lorikeets feed on mangos.,Blue lorikeets that live in the temperate forest does not feed on mangos.
Blue lorikeets feed on mangos.,Lorikeets that live in cold climates do not feed on mangos.
Birds regurgitate food.,Birds that are too young to eat on their own do not regurgitate food.
Birds have eyelids.,Birds that are in the process of hatching from their eggs do not have eyelids.
Birds have eyelids.,Birds that are very young and have not yet grown eyelids do not have eyelids.
Birds have eyelids.,Birds that are young and have not yet grown eyelids do not have eyelids.
Birds have eyelids.,Birds that are sick or injured and have lost their eyelids do not have eyelids.
Birds have eyelids.,Birds that are chicks and have not yet developed eyelids do not have eyelids.
Birds have eyelids.,Birds that have their eyes surgically removed do not have eyelids.
Woodpeckers nest in holes.,Woodpeckers that live in a city and there are no trees with holes do not nest in holes.
Birds eat spiders.,Birds that live in a place where there are no spiders do not eat spiders.
Birds eat spiders.,Birds that do not like the taste of spiders do not eat spiders.
Birds eat spiders.,The peregrine falcon does not eat spiders.
Birds eat spiders.,Birds that live in an area where spiders are not common do not eat spiders.
Birds eat spiders.,Birds that do not like spiders for some other reason do not eat spiders.
Birds eat spiders.,Birds that do not know how to catch spiders do not eat spiders.
Birds eat spiders.,Vultures do not eat spiders.
Lemurs possess retinas.,Lemurs that are born without retinas do not possess retinas.
Eagles eat seabirds.,Eagles that live in a place where there are no seabirds do not eat seabirds.
Eagles eat seabirds.,Eagles that live in a desert or other area where there are few seabirds do not eat seabirds.
Eagles eat seabirds.,Eagles that are young and have not yet learned to hunt; do not eat seabirds.
Eagles eat seabirds.,Eagles that are young and have not learned how to hunt do not eat seabirds.
Eagles eat seabirds.,Eagles that live in a desert area do not eat seabirds.
Birds have poor night vision.,Birds that are nocturnal do not have poor night vision.
Birds have poor night vision.,Birds that have a lot of experience in the dark do not have poor night vision.
Birds have poor night vision.,Birds that are used to hunting or being hunted at night do not have poor night vision.
Birds have poor night vision.,Birds that feed at night do not have poor night vision.
Birds have poor night vision.,Birds that use their acute hearing to find prey do not have poor night vision.
Owls have flight feathers.,Owls that are chicks and have not grown their flight feathers yet do not have flight feathers.
Owls have flight feathers.,Owls that are very young do not have flight feathers.
Pelicans has-part toes.,The australian pelican does not have - part toes.
Ducks acquire breeding plumage in the fall.,Ducks that have a genetic mutation that causes them to retain their juvenile plumage do not acquire breeding plumage in the fall.
Hawks eat mice.,Hawks that don't see any mice do not eat mice.
Birds require lots of energy.,Birds that are in a state of torpor do not require lots of energy.
Eagles inhabit northern hemispheres.,"The philippine eagle, which is found in the philippines does not inhabit northern hemispheres."
Eagles inhabit northern hemispheres.,"The african fish eagle, which is found in africa does not inhabit northern hemispheres."
Eagles inhabit northern hemispheres.,The african fish eagle which inhabits africa does not inhabit northern hemispheres.
Parrots stand on feet.,Budgerigars stand on their toes do not stand on feet.
Albatrosses reach sexual maturity.,Albatrosses that die before reaching sexual maturity do not reach sexual maturity.
Emperor penguins weigh pounds.,Emperor penguins that have lost a lot of weight due to illness do not weigh pounds.
Emperor penguins weigh pounds.,"Emperor penguins that are very young, they weigh only a few ounces do not weigh pounds."
Emperor penguins weigh pounds.,Emperor penguins that are very young do not weigh pounds.
Emperor penguins weigh pounds.,Emperor penguins that are chicks do not weigh pounds.
Swans have pure white feathers.,Swans that have been in the sun for a while do not have pure white feathers.
Swans have pure white feathers.,Swans that are molting (losing feathers) do not have pure white feathers.
Swans have pure white feathers.,Swans that are covered in dirt or mud do not have pure white feathers.
Swans have pure white feathers.,Black swans do not have pure white feathers.
Swans have pure white feathers.,Swans that are covered in mud do not have pure white feathers.
Swans have pure white feathers.,Swans that live in a polluted area do not have pure white feathers.
Swans have pure white feathers.,Swans that have been in the water do not have pure white feathers.
Swans have pure white feathers.,Tundra swans do not have pure white feathers.
Swans have pure white feathers.,Swans that are molting do not have pure white feathers.
Swans have pure white feathers.,Swans that have been in the rain do not have pure white feathers.
Hummingbirds migrate to food.,Hummingbirds that are migrating to a place where there is no food do not migrate to food.
Hummingbirds migrate to food.,Hummingbirds that are young and have not learned how to migrate do not migrate to food.
Hummingbirds migrate to food.,Hummingbirds that are too young or old to fly do not migrate to food.
Hummingbirds migrate to food.,Hummingbirds that are injured and cannot fly do not migrate to food.
Hummingbirds migrate to food.,Hummingbirds that live in a place with year-round food do not migrate to food.
Hummingbirds migrate to food.,Hummingbirds that are defending their territory do not migrate to food.
Owls eat prey.,Owls that are sick or injured do not eat prey.
Owls eat prey.,Owls that are not hungry do not eat prey.
Owls eat prey.,Owls that cannot find prey do not eat prey.
Eagles have scaly.,Eagles that have a skin infection do not have scaly.
Birds fly over nests.,Birds that need to go to the bathroom do not fly over nests.
Birds fly over nests.,Birds that are looking for food do not fly over nests.
Birds fly over nests.,Birds that are defending their territory do not fly over nests.
Juvenile ospreys have speckle coloration.,Juvenile ospreys that have been injured and have lost their speckle coloration do not have speckle coloration.
Juvenile ospreys have speckle coloration.,Juvenile ospreys that are very young and have not yet grown their speckle coloration; do not have speckle coloration.
Juvenile ospreys have speckle coloration.,Juvenile ospreys that are molting and have not yet grown their speckle coloration; do not have speckle coloration.
Toucans are canopy specialists in tropical or montane rainforest.,"Toucans that roost in trees near open areas, such as pastures, are not canopy specialists in tropical or montane rainforest."
Toucans are canopy specialists in tropical or montane rainforest.,Toucans that are feeding on fruit trees in a cultivated area are not canopy specialists in tropical or montane rainforest.
Toucans are canopy specialists in tropical or montane rainforest.,Toucans that are living in a disturbed habitat are not canopy specialists in tropical or montane rainforest.
Toucans are canopy specialists in tropical or montane rainforest.,Toucans that feed on fruiting trees in agricultural areas are not canopy specialists in tropical or montane rainforest.
Toucans are canopy specialists in tropical or montane rainforest.,Toucans that feed on fruiting trees in adjacent open habitats are not canopy specialists in tropical or montane rainforest.
Birds survive first years.,Birds that don't have enough food or water do not survive first years.
Goose barnacles eat brine shrimp.,Goose barnacles that are living in a place where there are no brine shrimp do not eat brine shrimp.
Goose barnacles eat brine shrimp.,Goose barnacles that are sick or injured and cannot eat brine shrimp do not eat brine shrimp.
Goose barnacles eat brine shrimp.,Goose barnacles that are too young or small to eat brine shrimp do not eat brine shrimp.
Goose barnacles eat brine shrimp.,Goose barnacles that live in polluted water do not eat brine shrimp.
Birds eat grasshoppers.,Birds that live in an area where there are no grasshoppers do not eat grasshoppers.
Birds eat grasshoppers.,Birds that live in an area where there are not many grasshoppers do not eat grasshoppers.
Birds eat grasshoppers.,Birds that do not like the taste of grasshoppers do not eat grasshoppers.
Birds eat grasshoppers.,Birds that are too young or old to eat grasshoppers do not eat grasshoppers.
Birds eat grasshoppers.,Birds that can't catch grasshoppers do not eat grasshoppers.
Birds eat grasshoppers.,The white-breasted nuthatch does not eat grasshoppers.
Birds eat grasshoppers.,Birds that are too young or old to hunt for grasshoppers do not eat grasshoppers.
Mongooses feed on small vertebrates.,"The dwarf mongoose, which feeds on insects does not feed on small vertebrates."
Hummingbirds pollinate wildflowers.,Hummingbirds that visit flowers that have already been pollinated do not pollinate wildflowers.
Hummingbirds pollinate wildflowers.,Hummingbirds that visit gardens with flowers that have been sprayed with insecticide do not pollinate wildflowers.
Hummingbirds pollinate wildflowers.,"Hummingbirds that are not available (for example, during winter) do not pollinate wildflowers."
Hummingbirds pollinate wildflowers.,Hummingbirds that visit gardens with artificial flowers that do not produce nectar do not pollinate wildflowers.
Parrots sit in trees.,Parrots that are on the ground do not sit in trees.
Parrots sit in trees.,Parrots that are in a cage do not sit in trees.
Parrots sit in trees.,Parrots that are being held by a person do not sit in trees.
Parrots sit in trees.,Parrots that are in a pet store do not sit in trees.
Parrots sit in trees.,Parrots that are in a zoo do not sit in trees.
Parrots sit in trees.,Parrots that are in someone's home do not sit in trees.
Parrots sit in trees.,Parrots that are at the zoo do not sit in trees.
Peregrine falcons have vision.,Peregrine falcons that are very young and have not yet developed their vision do not have vision.
Peregrine falcons have vision.,Peregrine falcons that are old and have lost their vision do not have vision.
Peregrine falcons have vision.,Peregrine falcons that have a disease that damages their optic nerve do not have vision.
Wander albatrosses have heads.,Wander albatrosses that have their heads bitten off by predators do not have heads.
Parrots reach sexual maturity.,Parrots that do not have enough protein in their diet do not reach sexual maturity.
Parrots reach sexual maturity.,Parrots that are not given enough of the right kind of food do not reach sexual maturity.
Parrots reach sexual maturity.,Parrots that are not old enough do not reach sexual maturity.
Throat warblers have bright yellow faces.,Black-throated blue warbler does not have bright yellow faces.
Throat warblers have bright yellow faces.,Swainson's warbler does not have bright yellow faces.
Throat warblers have bright yellow faces.,The black-throated green warbler does not have bright yellow faces.
Throat warblers have bright yellow faces.,"The black-and-white warbler, which has a mostly white face does not have bright yellow faces."
Throat warblers have bright yellow faces.,Throat warblers that are molting (changing their feathers) do not have bright yellow faces.
Songbirds thrive in habitats.,Songbirds that live in areas where there is not enough food do not thrive in habitats.
Songbirds thrive in habitats.,Songbirds that are forced to compete for food with invasive species do not thrive in habitats.
Songbirds thrive in habitats.,Songbirds that live in an area that has been destroyed by humans do not thrive in habitats.
Songbirds thrive in habitats.,Songbirds that live in a desert with few trees and no water do not thrive in habitats.
Songbirds thrive in habitats.,Songbirds that live in an area that is too cold do not thrive in habitats.
Songbirds thrive in habitats.,Songbirds that live in an area that is too hot do not thrive in habitats.
Songbirds thrive in habitats.,Songbirds that are affected by climate change do not thrive in habitats.
Birds have dark undersides.,Birds that are white because of albinism do not have dark undersides.
Birds survive years.,Birds that get sick and die do not survive years.
Birds survive years.,Birds that are killed by predators do not survive years.
Birds survive years.,Birds that starve to death do not survive years.
Storks feed on fish.,Storks that live in a place where there is not enough fish to eat; do not feed on fish.
Storks feed on fish.,"Storks that fly over agricultural land, they may eat insects, frogs, or small rodents; do not feed on fish."
Storks feed on fish.,Storks that live near humans and eat food that we give them do not feed on fish.
Storks feed on fish.,Storks that feed on insects do not feed on fish.
Birds have few feathers.,Birds that have a lot of down feathers; do not have few feathers.
Flamingos have long legs.,Flamingos that are very young do not have long legs.
Flamingos have long legs.,Flamingos that are young do not have long legs.
Flamingos have long legs.,"The andean flamingo, which has short, stumpy legs does not have long legs."
Birds depend on water sources.,"Some seabirds, which get their water from the ocean does not depend on water sources."
Birds eat aquatic insects.,Red-tailed hawks do not eat aquatic insects.
Birds eat aquatic insects.,Birds that live in a grassland do not eat aquatic insects.
Birds eat aquatic insects.,Birds that live in a desert do not eat aquatic insects.
Birds establish pair bonds in the late fall when winter flocks form.,Birds that do not have enough time to form a pair bond do not establish pair bonds in the late fall when winter flocks form.
Birds establish pair bonds in the late fall when winter flocks form.,Birds that are not old enough to mate do not establish pair bonds in the late fall when winter flocks form.
Birds establish pair bonds in the late fall when winter flocks form.,Birds that are not ready to mate do not establish pair bonds in the late fall when winter flocks form.
Birds establish pair bonds in the late fall when winter flocks form.,Birds that are not in the same area do not establish pair bonds in the late fall when winter flocks form.
Birds use talons.,Hummingbirds do not use talons.
Birds use talons.,Toucans do not use talons.
Hummingbirds pollinate flowers.,Hummingbirds that visit flowers that are not in bloom do not pollinate flowers.
Owls live in wildernesses.,Owls that live in cities do not live in wildernesses.
Owls live in wildernesses.,Owls that live in a city do not live in wildernesses.
Owls live in wildernesses.,Owls that live in the city do not live in wildernesses.
Owls live in wildernesses.,Owls that live in zoos do not live in wildernesses.
Cockatoos feed only on plant material.,"Sulphur-crested cockatoos, which sometimes feed on nuts and seeds do not feed only on plant material."
Cockatoos feed only on plant material.,Cockatoos that are in captivity and are not given enough variety in their diet do not feed only on plant material.
Cockatoos feed only on plant material.,Cockatoos that are hand-fed by humans do not feed only on plant material.
Cockatoos feed only on plant material.,"Palm cockatoos, which sometimes feed on small lizards do not feed only on plant material."
Cockatoos feed only on plant material.,Cockatoos that are in the wild and are raiding crops do not feed only on plant material.
Cockatoos feed only on plant material.,Cockatoos that eat seeds or fruit from a garden do not feed only on plant material.
Cockatoos feed only on plant material.,Cockatoos that are raiding fruit trees or gardens for food do not feed only on plant material.
Cockatoos feed only on plant material.,"Black cockatoos, which sometimes feed on insects do not feed only on plant material."
Birds eat certain food.,Birds that have a special diet do not eat certain food.
Birds eat certain food.,Birds that are trying to conserve energy do not eat certain food.
Birds eat certain food.,Birds that are sick; do not eat certain food.
Birds eat certain food.,Birds that have a stomachache do not eat certain food.
Birds eat balance diets.,Birds that eat food that is not good for them (like junk food) do not eat balance diets.
Birds eat balance diets.,Birds that eat all the food in their cages do not eat balance diets.
Birds eat balance diets.,Seagulls that eat french fries do not eat balance diets.
Birds eat balance diets.,Birds that eat the wrong things do not eat balance diets.
Birds eat balance diets.,"Pigeons, which eat mostly seeds do not eat balance diets."
Storks eat frogs.,Storks that live in an area where there are no frogs do not eat frogs.
Storks eat frogs.,Storks that are very young and have not yet learned to catch frogs do not eat frogs.
Storks eat frogs.,Storks that do not like frogs do not eat frogs.
Black storks feed on fish.,Black storks that are young and have not learned to fish do not feed on fish.
Birds eat ferment fruit.,Birds that do not like the taste of ferment fruit do not eat ferment fruit.
Birds eat ferment fruit.,Birds that live in a place where there is no ferment fruit do not eat ferment fruit.
Birds eat ferment fruit.,Peregrine falcons do not eat ferment fruit.
Birds eat ferment fruit.,Birds that have a diet that does not include ferment fruit do not eat ferment fruit.
Birds eat ferment fruit.,Snowy owls do not eat ferment fruit.
Birds eat ferment fruit.,Birds that do not like the taste do not eat ferment fruit.
Birds eat ferment fruit.,Birds that do not know that the fruit is ferment do not eat ferment fruit.
Flamingos have red coral feathers.,Flamingos that are molting do not have red coral feathers.
Flamingos have red coral feathers.,Flamingos in the andes do not have red coral feathers.
Birds have large ranges.,Birds that live in areas where there is not much food do not have large ranges.
Birds have large ranges.,Birds that are not able to fly long distances do not have large ranges.
Birds have large ranges.,Birds that live on a small island do not have large ranges.
Birds have large ranges.,Birds that are juveniles and have not yet learned to fly do not have large ranges.
Birds have large ranges.,Birds that are kept in captivity do not have large ranges.
Birds have large ranges.,Birds that live in isolated areas do not have large ranges.
Birds have large ranges.,Birds that are injured and can't fly do not have large ranges.
Diarrhea causes severe illnesses.,Diarrheas that occur among immunocompetent people without dehydration do not cause severe illnesses.
Screech owls have from four to six young.,Owls that have only one young do not have from four to six young.
Screech owls have from four to six young.,Owls that have a smaller clutch size because of food shortages do not have from four to six young.
Birds feed on fruit berries.,Birds that live in an area where there are not many fruiting trees do not feed on fruit berries.
Birds feed on fruit berries.,Birds that are young and have not developed a taste for fruit berries do not feed on fruit berries.
Birds feed on fruit berries.,Birds that are young and need to be fed high-protein food; do not feed on fruit berries.
Birds feed on fruit berries.,Birds that live in cold environments where there are not many fruit berries; or do not feed on fruit berries.
Birds feed on fruit berries.,Vultures do not feed on fruit berries.
Birds have splendid feathers.,Birds that are sick and have lost some feathers do not have splendid feathers.
Birds have splendid feathers.,Birds that have been attacked by a predator and lost some feathers; do not have splendid feathers.
Birds have splendid feathers.,Birds that are very young do not have splendid feathers.
Roosters reach sexual maturity.,Chickens that are less than 4 months old do not reach sexual maturity.
Roosters reach sexual maturity.,Roosters that are not genetically predisposed to reach sexual maturity do not reach sexual maturity.
Meadowlarks defend nest territory.,Non-breeding meadowlarks do not defend nest territory.
Meadowlarks defend nest territory.,Meadowlarks that are young and have not yet learned to defend territory do not defend nest territory.
Meadowlarks defend nest territory.,Meadowlarks that have a broken wing and cannot fly do not defend nest territory.
Ducks live in lakes.,Ducks that live in the rainforest do not live in lakes.
Ducks live in lakes.,Ducks that live in the desert do not live in lakes.
Ducks live in lakes.,Ducks that are sick and need to see a doctor do not live in lakes.
Ducks live in lakes.,Ducks that live in the city do not live in lakes.
Ducks live in lakes.,Ducks that live on a farm do not live in lakes.
Ducks live in lakes.,Ducks that live in a park do not live in lakes.
Ducks live in lakes.,Ducks that live in someone's backyard do not live in lakes.
Ducks live in lakes.,Ducks that live in a farm do not live in lakes.
Warblers live on rocky slopes.,The orange-crowned warbler lives in open woodlands and shrublands does not live on rocky slopes.
Warblers live on rocky slopes.,Yellow-rumped warblers live in deciduous forests do not live on rocky slopes.
Warblers live on rocky slopes.,Warblers that live in the middle of the forest do not live on rocky slopes.
Warblers live on rocky slopes.,The black-and-white warbler lives in deciduous forests does not live on rocky slopes.
Warblers live on rocky slopes.,Warblers that live in the rainforest do not live on rocky slopes.
Warblers live on rocky slopes.,The bay-breasted warbler lives in deciduous forests does not live on rocky slopes.
Warblers live on rocky slopes.,Warblers that live on islands do not live on rocky slopes.
Owls eat grasshopper mice.,Owls that live in a place where there are no grasshopper mice do not eat grasshopper mice.
Owls eat grasshopper mice.,Owls that are in a place where there are no grasshopper mice do not eat grasshopper mice.
Owls eat grasshopper mice.,Owls that cannot find any grasshopper mice do not eat grasshopper mice.
Owls eat grasshopper mice.,Owls that prefer to eat a different type of food do not eat grasshopper mice.
Domestic fowl has feathers.,Domestic fowls that have been plucked for their feathers do not have feathers.
Domestic fowl has feathers.,Domestic fowls that are newly hatched do not have feathers.
Pigeons live in parks.,Pigeons that live on the roof of a building do not live in parks.
Pigeons live in parks.,Pigeons that live in people's backyards do not live in parks.
Pigeons live in parks.,Pigeons that live in places where there are no parks do not live in parks.
Pigeons live in parks.,Pigeons that live in people's homes do not live in parks.
Pigeons live in parks.,Pigeons that live in zoos do not live in parks.
Pigeons live in parks.,Pigeons that live on farms do not live in parks.
Great herons nest in colonies.,Great herons that live in a place where there are not many other herons do not nest in colonies.
Birds drink sea water.,Peregrine falcons do not drink sea water.
Birds drink sea water.,Birds that are in a place where there is no salt water do not drink sea water.
Birds drink sea water.,Birds that are in a place where there is little fresh water do not drink sea water.
Birds drink sea water.,Red-tailed hawks do not drink sea water.
Birds drink sea water.,Birds that are too far from the sea do not drink sea water.
Birds drink sea water.,Birds that are too far from the ocean do not drink sea water.
Birds drink sea water.,Birds that are in an area where there is fresh water available do not drink sea water.
Birds drink sea water.,Birds that are on their wintering grounds do not drink sea water.
Birds drink sea water.,Birds that live in a place with no salt water do not drink sea water.
Birds drink sea water.,Birds that live in a desert do not drink sea water.
Hummingbirds suck flowers.,Hummingbirds that are eating from a feeder do not suck flowers.
Male mallards have grayish or brownish feathers .,White-headed ducks do not have grayish or brownish feathers.
Hawks eat birds.,Hawks that do not like the taste of birds do not eat birds.
Hammerhead sharks feed on squids.,Hammerhead sharks that are young and have not yet developed a taste for squid do not feed on squids.
Hammerhead sharks feed on squids.,Hammerhead sharks that are sick or injured do not feed on squids.
Big birds get sharp teeth.,Big birds that have a hook on the end of their beak do not get sharp teeth.
Big birds get sharp teeth.,Big birds that have a beak that is not good for catching prey do not get sharp teeth.
Big birds get sharp teeth.,Ostriches do not get sharp teeth.
Big birds get sharp teeth.,Big birds that have a beak instead of teeth do not get sharp teeth.
Big birds get sharp teeth.,Big birds that have a beak that is not good for cutting do not get sharp teeth.
Big birds get sharp teeth.,Albatrosses do not get sharp teeth.
Big birds get sharp teeth.,Big birds that live in the water do not get sharp teeth.
Big birds get sharp teeth.,Cassowaries do not get sharp teeth.
Big birds get sharp teeth.,Big birds that eat mostly fruits or other soft foods do not get sharp teeth.
Big birds get sharp teeth.,Bald eagles do not get sharp teeth.
Birds eat organisms.,Birds that eat seeds do not eat organisms.
Flightless birds use powerful legs.,Flightless birds that are sitting on eggs in a nest do not use powerful legs.
Flightless birds use powerful legs.,Flightless birds that cannot run fast because the ground is too uneven do not use powerful legs.
Flightless birds use powerful legs.,Flightless birds that are not fast runners do not use powerful legs.
Flightless birds use powerful legs.,Flightless birds that hide from predators do not use powerful legs.
Birds have bright yellow beaks.,Woodpeckers do not have bright yellow beaks.
Birds have bright yellow beaks.,Birds that have a black beak because they are a blackbird do not have bright yellow beaks.
Birds have bright yellow beaks.,Birds that have a white beak because they are a dove do not have bright yellow beaks.
Birds have bright yellow beaks.,Birds that have a brown beak because they are a crow do not have bright yellow beaks.
Birds feed on plants.,Birds that are scavengers and eat dead animals do not feed on plants.
